日期,國家,城市,項目,次數,min,max,median,variance
2021-06-16,TW,Taitung City,pm25,45,9.0,53.0,30.0,1428.31
2021-03-13,TW,Taitung City,pm25,48,13.0,57.0,30.0,1105.80
2021-03-24,TW,Taitung City,pm25,47,9.0,50.0,30.0,998.40
2021-07-18,TW,Taitung City,pm25,7,21.0,38.0,25.0,364.76
2021-09-21,TW,Taitung City,pm25,15,21.0,34.0,21.0,349.24
2021-01-16,TW,Taitung City,pm25,48,17.0,93.0,38.0,1661.66
2021-01-27,TW,Taitung City,pm25,46,9.0,72.0,34.0,4823.87
2021-02-13,TW,Taitung City,pm25,42,9.0,72.0,17.0,1933.62
2021-07-12,TW,Taitung City,pm25,4,21.0,21.0,21.0,0.00
2021-08-30,TW,Taitung City,pm25,13,21.0,38.0,25.0,359.10
2021-09-02,TW,Taitung City,pm25,2,21.0,21.0,21.0,0.00
2021-03-23,TW,Taitung City,pm25,47,9.0,57.0,30.0,1376.00
2021-05-10,TW,Taitung City,pm25,48,13.0,55.0,30.0,871.70
2021-05-15,TW,Taitung City,pm25,42,9.0,38.0,21.0,715.26
2021-02-22,TW,Taitung City,pm25,48,13.0,53.0,30.0,979.56
2021-06-21,TW,Taitung City,pm25,48,21.0,53.0,42.0,855.25
2021-03-01,TW,Taitung City,pm25,48,13.0,55.0,30.0,1181.17
2021-03-31,TW,Taitung City,pm25,46,46.0,87.0,70.0,1195.21
2021-04-07,TW,Taitung City,pm25,48,21.0,70.0,42.0,1009.20
2021-03-26,TW,Taitung City,pm25,48,13.0,72.0,38.0,1550.42
2021-04-24,TW,Taitung City,pm25,36,9.0,30.0,17.0,485.59
2021-05-03,TW,Taitung City,pm25,47,13.0,46.0,25.0,979.89
2021-06-08,TW,Taitung City,pm25,41,9.0,38.0,21.0,608.62
2021-06-27,TW,Taitung City,pm25,19,9.0,30.0,17.0,456.90
2021-10-02,TW,Taitung City,pm25,45,21.0,68.0,38.0,960.86
2021-01-08,TW,Taitung City,pm25,46,9.0,46.0,21.0,823.69
2021-03-16,TW,Taitung City,pm25,48,25.0,53.0,42.0,648.51
2021-04-14,TW,Taitung City,pm25,40,9.0,46.0,21.0,886.15
2021-05-28,TW,Taitung City,pm25,48,13.0,68.0,42.0,1222.30
2021-06-20,TW,Taitung City,pm25,48,13.0,55.0,38.0,1285.74
2021-07-16,TW,Taitung City,pm25,2,25.0,30.0,25.0,125.00
2021-02-25,TW,Taitung City,pm25,44,9.0,55.0,25.0,1161.75
2021-03-28,TW,Taitung City,pm25,46,21.0,80.0,42.0,2684.43
